,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
286,igarka,0,ru,1561971214,82,-45.41,167.72,281.7,3.04
287,karkaralinsk,100,kz,1561971214,79,66.82,65.8,292.3,4.46
288,powell,0,us,1561971215,40,-33.73,-70.74,273.15,1.5
289,cunduacan,75,mx,1561971215,70,5.28,115.24,304.15,2.1
290,arbagar,100,ru,1561971215,76,16.02,42.93,304.9,6.49
291,saleaula,24,ws,1561971216,95,-17.73,-39.27,294.5,2.8
292,changli,28,cn,1561971216,85,65.58,-170.99,281.6,3.44
293,port hedland,1,au,1561971216,69,39.95,-94.76,298.71,2.6
294,tiarei,93,pf,1561971216,33,50.76,59.54,302.6,3.79
295,nador,75,ma,1561971217,72,52.96,4.76,294.26,7.7
296,caruray,40,ph,1561971217,75,23.11,113.84,309.15,4
297,desaguadero,75,pe,1561971217,87,59.79,5.78,286.48,8.7
298,rio gallegos,1,ar,1561971218,83,40.33,-91.2,297.04,1.23
299,salinopolis,40,br,1561971218,37,12.63,80.17,311.15,5.1
300,iracoubo,0,gf,1561971218,93,50.68,156.12,280,5.51
301,provideniya,88,ru,1561971219,65,-1.24,116.86,300.9,2.23
302,rock sound,47,bs,1561971219,62,10.27,13.26,302.8,5.43
303,dunedin,40,nz,1561971219,58,27.71,85.32,303.15,4.1
304,mazagao,0,br,1561971219,88,-22.28,166.46,293.15,1
305,kruisfontein,95,za,1561971220,53,65.53,72.51,298.8,6.53
306,acarau,1,br,1561971220,100,49.78,-74.86,285.15,1
307,tual,100,id,1561971220,81,11.67,92.75,301.9,10.25
308,nelson bay,90,au,1561971220,77,-28.95,153.24,290.15,0.37
309,dolbeau,88,ca,1561971221,45,29.81,-109.68,297.1,1.84
310,inhambane,97,mz,1561971221,86,53.74,127.27,290.2,1.31
311,moba,87,cd,1561971221,70,49.22,-84.78,287.4,4.66
312,nome,0,us,1561971222,83,9.51,-7.57,298,1.71
313,segezha,75,ru,1561971222,82,43.21,-8.69,291.15,2.1
314,falealupo,0,ws,1561971222,70,-34.58,150.85,287.59,1.54
315,ponta delgada,0,pt,1561971222,93,41.28,-70.1,291.48,4.1
316,kidal,0,ml,1561971217,83,14.69,-17.45,298.15,1
317,lolua,30,tv,1561971223,60,-17.68,48.22,293.1,7.85
318,pervomayskoye,99,ru,1561971223,84,3.64,18.59,299.6,2.38
319,ngunguru,58,nz,1561971223,83,-8.15,159.59,299.4,2.46
320,krikellos,97,gr,1561971224,93,54.02,-124.02,285.2,2.5
321,narsaq,0,gl,1561971224,82,18.56,-74.26,298.9,2.13
322,kungurtug,1,ru,1561971224,93,36.62,-121.92,287.15,4.92
323,te anau,51,nz,1561971224,71,54.66,51.51,291.7,3.6
324,rawannawi,100,ki,1561971225,90,-11.1,-77.61,290.4,7
325,kharp,0,ru,1561971225,72,27.97,-114.04,293.7,9.24
326,nizhneyansk,75,ru,1561971226,94,15.32,-87.99,297.59,1.26
327,olafsvik,0,is,1561971226,50,32.07,116.17,306.3,1.04
328,buin,4,pg,1561971226,94,-3.28,-39.27,294.3,2.35
329,labuan,0,my,1561971226,8,31.41,51.57,302.1,4.96
330,bani,99,do,1561971227,97,5.02,25.13,292.8,2.6
331,caravelas,75,br,1561971227,82,65.83,21.69,286.15,1.5
332,lavrentiya,100,ru,1561971227,85,-0.9,-89.6,294.8,4.38
333,kodiak,40,us,1561971066,74,1.3,124.91,303.15,1.5
334,dombarovskiy,60,ru,1561971228,57,-5.25,14.87,298.9,1.8
335,den helder,0,nl,1561971228,80,-34.48,-54.34,278.5,5.61
336,shilong,90,cn,1561971228,100,44.06,-103.15,288.71,8.7
337,gravdal,7,no,1561971229,39,13.03,5.27,307.7,6.1
338,toliary,0,mg,1561971229,57,45.22,1.9,299.15,1
339,basco,75,ph,1561971229,83,38.73,-27.07,294.15,7.19
340,mamallapuram,20,in,1561971212,53,41.22,31.96,297.15,1
341,severo-kurilsk,90,ru,1561971074,83,-0.72,8.78,298.15,5.1
342,balikpapan,75,id,1561971075,66,5.42,100.33,305.93,3.6
343,mubi,75,ng,1561971230,69,-7.04,-39.28,297.15,1.68
344,kathmandu,67,np,1561971230,12,29.23,56.61,300.4,1.36
345,noumea,21,nc,1561971230,96,-11.81,-37.61,291.6,0.52
346,nadym,75,ru,1561971231,70,5.28,115.24,304.15,2.1
347,chapais,89,ca,1561971231,86,-41.37,173.11,282.59,0.89
348,port blair,61,in,1561971231,12,14.4,46.47,309.4,4.44
349,codrington,5,ag,1561971232,75,-5.2,-35.46,299.6,9.27
350,moctezuma,100,mx,1561971232,25,64.57,143.24,293.6,2.61
351,zeya,74,ru,1561971232,69,71.64,128.87,281.2,7.6
352,hornepayne,0,ca,1561971108,42,49.56,22.21,304.26,7.2
353,odienne,31,ci,1561971233,51,52.71,41.64,293.7,4.35
354,carballo,14,es,1561971233,77,-5.36,104.98,299.6,3.15
355,flinders,0,au,1561971117,48,53.9,27.56,301.15,4
356,nantucket,91,us,1561971234,29,64.9,45.76,292.6,0.45
357,dakar,90,sn,1561971234,87,55.34,-131.65,289.15,2.1
358,amparafaravola,75,mg,1561971234,88,40.62,-8.73,294.26,2.1
359,mongoumba,0,cf,1561971234,39,29.03,21.55,303,3.95
360,buala,0,sb,1561971235,47,37.14,-8.45,297.59,1.5
361,vanderhoof,100,ca,1561971235,68,3.78,72.97,302.3,3.73
362,moron,75,mn,1561971235,67,-33.86,121.89,288.15,5.7
363,pacific grove,100,us,1561971236,94,9.75,-63.18,294.6,1.5
364,cheremshan,26,ru,1561971236,83,14.9,-24.5,296.4,10.74
365,maneadero,20,mx,1561971236,69,13.22,-59.52,301.15,11.3
366,hualmay,0,pe,1561971237,56,-7.04,112.64,302.2,3.51
367,guerrero negro,75,mx,1561971237,33,52.04,76.93,297.15,4
368,villanueva,73,mx,1561971237,84,6.95,1.17,299.1,2.3
369,changji,0,cn,1561971237,34,2.34,37.99,305.9,6.66
370,trairi,0,br,1561971238,64,25.02,37.27,303.4,3.98
371,semirom,0,ir,1561971238,76,-15.89,-52.26,290.3,0.69
372,zemio,100,cf,1561971238,67,53.83,22.36,295.6,6.01
373,boden,99,se,1561971238,87,53.58,126.91,290.3,0.85
374,puerto baquerizo moreno,75,ec,1561971239,69,21.32,-158.01,300.15,3.6
375,tondano,100,id,1561971239,90,-29.62,-54.18,282.8,3.84
376,mbanza-ngungu,0,cd,1561971239,77,48.95,4.24,292.59,4.1
377,rocha,84,uy,1561971240,65,27.91,89.73,283.3,4.78
378,rapid valley,100,us,1561971240,74,26.54,-78.7,301.8,4.39
379,mana,75,gf,1561971240,94,-5.81,-35.21,296.15,2.6
380,saint-paul,0,re,1561971240,18,22.68,-3.98,310.8,2.47
381,praia da vitoria,40,pt,1561971241,65,31.35,27.25,301.15,4.6
382,devrek,92,tr,1561971241,70,5.4,125.46,301.7,1.14
383,port-gentil,0,ga,1561971242,46,34.92,32.53,305.15,4.1
384,george town,3,ky,1561971242,94,32.41,-87.02,296.15,1.58
385,caririacu,100,br,1561971242,87,62.16,-7.17,279.15,8.7
386,baft,100,ir,1561971242,71,-35.12,139.28,284.26,2.24
387,conde,20,br,1561971243,100,48.75,-79,285.15,1
388,victoria,1,sc,1561971243,45,70.47,-68.59,279.15,2.1
389,brightwater,0,nz,1561971243,18,-17.91,19.77,292.15,2.1
390,marzuq,100,ly,1561971244,96,8.32,-62.69,297.59,0.89
391,touros,100,br,1561971244,91,66,57.56,288,3.59
392,ust-nera,0,ru,1561971244,87,52.16,-103.52,284.1,4.61
393,tiksi,0,ru,1561971244,39,47.25,6.02,303.15,2.1
394,sanok,99,pl,1561971111,76,-31.43,152.91,287.59,0.7
395,novaya lyada,40,ru,1561971245,48,12.96,77.22,302.15,8.7
396,pringsewu,75,id,1561971245,100,16.17,-88.94,297.15,0.58
397,ahumada,75,mx,1561971202,94,46.77,-92.13,295.15,2.6
398,minsk,0,by,1561971246,75,50.51,-116.03,282.04,1.73
399,leshukonskoye,0,ru,1561971246,62,-31.39,-64.15,279.26,2.1
400,ketchikan,40,us,1561971246,79,24.8,125.28,304.15,5.7
401,gafanha da encarnacao,0,pt,1561971247,20,-14.66,17.68,297.9,1.6
402,jalu,0,ly,1561971247,25,26.91,70.91,314.3,7.01
403,lagoa,1,pt,1561971247,98,-6.66,-69.87,294.3,0.39
404,mahibadhoo,99,mv,1561971247,78,9.37,-70.44,292.7,1.33
405,esperance,0,au,1561971248,32,54.21,24.57,300.15,7.2
406,maturin,100,ve,1561971248,81,-16.52,-151.75,297.9,12.6
407,sao filipe,1,cv,1561971248,60,27.72,109.18,302.3,2.61
408,bathsheba,71,bb,1561971249,53,38.61,44.99,286.4,3.75
409,chastoozerye,62,ru,1561971249,44,61.51,38.95,290.7,3.43
410,kramat,7,id,1561971249,39,39.94,119.59,300.5,4.54
411,aksu,100,cn,1561971250,92,5.69,15.95,295.9,2.32
412,notse,20,tg,1561971250,62,64.73,177.51,288.15,3
413,marsabit,100,ke,1561971250,91,-10.07,-78.15,290.7,6.45
414,umm lajj,46,sa,1561971251,75,66.32,-179.17,282.2,5.42
415,barra do garcas,1,br,1561971251,82,39,-77.4,292.15,2.44
416,elk,59,pl,1561971030,43,67.47,78.7,289.2,3.61
417,ovsyanka,100,ru,1561971251,62,-34.18,142.16,284.15,1.5
418,ewa beach,20,us,1561971252,35,39.42,22.43,303.15,4.1
419,sao pedro do sul,5,br,1561971046,82,43.26,-79.87,289.26,1.5
420,saint-pierre,72,pm,1561971252,15,34.79,109.94,307.9,3.12
421,gasa,83,bt,1561971004,74,-27.8,-64.26,279.7,1.66
422,freeport,0,us,1561971253,74,-34.72,135.86,288.7,8.8
423,natal,94,br,1561971253,87,61.92,159.24,283.8,2.69
424,taoudenni,20,ml,1561971253,69,38.6,-0.05,304.26,4.1
425,marsa matruh,0,eg,1561971254,42,-45.87,-67.48,280.15,10.3
426,barwaha,73,in,1561971254,64,49.74,84.27,290.3,3.02
427,jomalig,20,ph,1561971254,41,57.77,29.55,299.15,9
428,sarangani,0,ph,1561971255,79,16.03,-16.5,296.4,5.27
429,lasa,0,cn,1561971255,63,-22.95,14.51,290.15,4.6
430,selma,20,us,1561971255,82,49.63,-1.64,290.93,5.7
431,vestmanna,0,fo,1561971256,63,44.98,16.09,301.48,0.45
432,murray bridge,90,au,1561971256,93,45.62,-61.36,285.93,4.6
433,macamic,0,ca,1561971256,9,36.41,64.91,312.3,4.4
434,clyde river,100,ca,1561971257,80,-30.17,-50.22,285.7,3.17
435,rundu,40,na,1561971257,88,-13.87,-171.6,299.15,3.1
436,ciudad guayana,21,ve,1561971065,85,12.52,-70.03,299.7,9.32
437,usinsk,52,ru,1561971258,77,64.27,100.22,292.8,4.1
438,kelvington,83,ca,1561971258,73,-14.27,50.17,296.5,3.26
439,besancon,0,fr,1561971258,68,45.6,-0.6,297.04,2.1
440,port macquarie,43,au,1561971258,39,21.76,80.05,309.9,4.42
441,magadi,0,ke,1561971259,55,44.13,4.08,304.26,1.5
442,laguna,64,br,1561971259,81,1.61,16.05,299.7,2.48
443,duluth,99,us,1561971259,65,30.78,78.62,283.2,2.82
444,invermere,12,ca,1561971260,69,-14.74,-50.57,291.6,0.58
445,nueva italia,0,py,1561971260,87,-29.95,-71.34,280.15,4.1
446,hirara,75,jp,1561971260,74,-8.71,116.27,300.15,5.7
447,mys shmidta,0,ru,1561971261,44,-15.79,35,303.3,1.41
448,menongue,23,ao,1561971261,64,34.16,77.58,277.3,2.92
449,jaisalmer,1,in,1561971262,50,39.61,-119.25,291.48,2.1
450,eirunepe,90,br,1561971262,62,9.42,123.33,305.15,4.1
451,trujillo,90,hn,1561971262,74,-1.95,-54.74,298.1,2.9
452,varena,100,lt,1561971263,85,-26.79,-60.44,284.8,3.47
453,vaitape,99,pf,1561971263,84,3.65,18.64,299.6,2.38
454,tongren,32,cn,1561971263,88,-11.73,-75.55,270.6,2.74
455,sarab,5,ir,1561971264,39,37.19,13.77,306.48,1
456,kargopol,1,ru,1561971264,88,32.79,-79.94,300.15,2.1
457,qinhuangdao,10,cn,1561971264,31,67.46,153.71,292.6,3.66
458,dibaya,63,cd,1561971265,89,41.81,126.91,290.7,1.48
459,baoro,91,cf,1561971265,87,-13.77,-72.87,278,0.96
460,anadyr,0,ru,1561971265,66,-18.68,-49.57,291.4,1.33
461,huarmey,100,pe,1561971265,58,-37.88,147.99,285.37,4.69
462,egvekinot,10,ru,1561971266,72,56.76,48.47,291,3.35
463,sterling,55,us,1561971266,9,40.29,97.04,307.4,4.89
464,tazovskiy,100,ru,1561971266,80,21.25,-89.05,298.8,5.75
465,mildura,100,au,1561971266,16,38.52,102.19,299.9,5.46
466,chara,25,ru,1561971267,75,-7.23,-44.56,293.2,2.34
467,hamilton,57,bm,1561971267,61,63.29,118.35,297.2,1.21
468,dali,98,cn,1561971267,58,16.77,77.14,303.4,7.85
469,santiago del estero,1,ar,1561971005,100,26.68,-80.67,298.71,3.1
470,port lincoln,1,au,1561971268,87,41.14,-73.36,292.15,4.1
471,evensk,99,ru,1561971268,82,29.38,103.02,290.7,1.98
472,altea,91,es,1561971268,82,19.91,109.69,302.4,6.18
473,comodoro rivadavia,0,ar,1561971269,31,28.03,-105.29,297.8,4.14
474,zyryanovsk,40,kz,1561971269,41,47.1,51.92,297.15,7
475,porkhov,44,ru,1561971269,27,-3.52,23.6,305.9,2.1
476,saint-louis,75,re,1561971270,66,22.76,121.15,305.15,4.6
477,urdzhar,0,kz,1561971270,64,-13.28,-50.16,292.3,1.46
478,walvis bay,40,na,1561971260,66,2.04,45.34,302.15,6.7
479,octeville,59,fr,1561971270,39,66.77,123.37,293.4,8.39
480,jezerski,0,ba,1561971271,87,-16.02,-48.01,286.15,4.6
481,phumi samraong,1,kh,1561971012,62,43.52,-114.32,286.15,2.6
482,port hawkesbury,57,ca,1561971271,61,-8.11,115.08,300.5,0.76
483,dawlatabad,100,af,1561971271,79,-35.71,150.18,283.71,0.89
484,cidreira,0,br,1561971272,82,-20.01,148.25,292.15,3.1
485,lufilufi,0,ws,1561971272,93,41.69,-70.08,291.48,4.1
486,oranjestad,83,aw,1561971272,62,25.81,113.03,304.8,3.95
487,mentok,0,id,1561971273,43,-16.02,-72.01,283.15,3.6
488,tura,100,ru,1561971273,81,13.13,123.76,300.4,6.14
489,sambava,6,mg,1561971273,55,15.11,37.59,301,2.95
490,souillac,1,mu,1561971065,82,43.66,-70.25,289.26,3.6
491,waraseoni,0,in,1561971274,51,-2.54,115.51,304.9,0.41
492,ales,16,fr,1561971274,91,-12.95,-74.02,275.7,0.79
493,ouesso,49,cg,1561971274,29,57.22,94.9,304.7,2.99
494,lata,75,sb,1561971274,63,53.02,-1.73,290.37,8.2
495,mozarlandia,0,br,1561971275,68,-34.61,-68.33,275.2,1.23
496,coquimbo,0,cl,1561971275,60,41.28,20.71,296.15,2.1
497,chagda,90,ru,1561971275,88,-7.79,-79.22,291.15,3.6
498,praya,20,id,1561971276,72,55.1,-105.3,289.15,4.6
499,blantyre,0,mw,1561971276,8,31.27,56.81,311.1,7.91
500,krasnoselkup,85,ru,1561971276,91,7.08,-2.17,297.3,1.19
501,leh,90,in,1561971276,87,40.6,-124.16,287.04,2.1
502,nguiu,36,au,1561971277,62,52.98,84.68,292.4,2.33
503,fernley,40,us,1561971277,66,13.17,100.93,306.48,4.1
504,santander,92,es,1561971277,59,48.81,103.53,290.8,2.45
505,alenquer,74,br,1561971278,82,-24.87,152.35,290.93,3.1
506,doume,0,cm,1561971278,31,-10.26,29.92,297.8,3.08
507,presidencia roque saenz pena,75,ar,1561971278,70,1.56,110.34,305.15,2.6
508,bolungarvik,100,is,1561971279,86,67.55,133.39,286.1,1.79
509,libenge,42,cd,1561971279,93,51.5,156.52,280.1,0.86
510,acolla,0,pe,1561971279,7,32.93,66.63,301.7,4.26
511,palma di montechiaro,20,it,1561971279,69,-23.86,35.35,300.15,6.2
512,charleston,20,us,1561971280,78,20.03,-75.83,300.15,2.6
513,srednekolymsk,34,ru,1561971280,33,51.15,108.93,297.7,2.5
514,linjiang,57,cn,1561971280,33,14.32,2.08,308.3,4.62
515,ico,75,br,1561971280,100,60.4,-1.35,284.15,8.2
516,capinopolis,100,br,1561971281,92,7.62,-11.83,298.5,1.99
517,lakes entrance,40,au,1561971281,92,-16.5,-68.19,269.15,1.5
518,sovetskiy,0,ru,1561971281,68,70.86,29.09,288.15,5.7
519,yumen,1,cn,1561971282,56,-3.48,29.48,290.4,2.87
520,dzidzantun,75,mx,1561971282,93,62.91,6.91,286.15,4.6
521,jinchang,1,cn,1561971282,94,34.95,-81.93,297.15,2.01
522,urucui,94,br,1561971283,79,59.99,45.81,287.4,2.53
523,nyurba,90,ru,1561971283,87,54.32,-130.32,288.15,1
524,yadgir,0,in,1561971283,48,25.21,64.64,309.6,6.51
525,belle glade,0,us,1561971283,93,64.17,-51.74,276.15,2.6
526,westport,100,nz,1561971284,49,66.56,67.8,300.1,8.77
527,wuchi,92,tw,1561971284,44,58.04,63.7,297.4,6.87
528,lingao,40,cn,1561971251,100,6.46,3.39,298.15,2.85
529,saucillo,100,mx,1561971285,86,24.14,67.45,302.5,6.12
530,qunduz,0,af,1561971285,82,25.12,62.33,303.2,5.03
531,atyrau,0,kz,1561971285,9,34.43,70.46,309.2,2.48
532,lodja,0,cd,1561971286,51,43.56,6.97,304.26,2.6
533,katunki,75,ru,1561971286,57,63.94,-21,282.15,1.5
